Company,Industry,Location,address,Phone,Tier,Activeness,Status,Account Manager,Business Developer
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Ingleside,"Ingleside, TX, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,LaPorte,"11426 Fairmont Parkway, LaPorte, TX 77571, US",,Tier 2	(Targeted),Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Merritt Island,"7007 N Courtenay Pkwy, Merritt Island, FL 32953, US",,Tier 3,Active,Not Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Nederland,"5100 North Twin City Hwy, Nederland, TX 77627, US",409-724-8250,Tier 1,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Norco,"Cedar Drive, Norco, LA 70079, US",,Tier 2	(Targeted),Non-Active,Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Orange,"FM 1006 11400 Bay Area Blvd, Orange, TX 77630, US",409-670-0713,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Pasadena,"11400 Bay Area Blvd, Pasadena, TX 77507, US",,Tier 2	(Targeted),Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Pasadena,"11777 Bay Area Blvd, Pasadena, TX 77507, US",713-474-8300,Tier 1,Semi-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Plaquemine,"57805 Evergreen Road, Plaquemine, LA 70764, US",,Tier 2	(Targeted),Non-Active,Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Plaquemine - ASU,"56815 Evergreen Road Evergreen ASU, Plaqumine, LA 70764, US",,Tier 2	(Targeted),Non-Active,Not Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Port Neches,"2121 Park Street, Port Neches, TX 77651, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Barry Landry  (TPS)",
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Taft,"177 Hwy 3142, Taft, LA 70057, US",,Tier 1,Semi-Active,Not Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Liquide Large Industries US LP,Chemical / Refining / Metals,Westlake,"1093 PPG Drive, Westlake, LA 70669, US",,Tier 2	(Targeted),Non-Active,Not Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Products,Chemical / Refining / Metals,Baton Rouge,"250 Gulf States Utilities Road, Baton Rouge, LA 70807, US",,Tier 3,Non-Active,Not Qualified,"Mark Maulden (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Products,Chemical / Refining / Metals,Convent,"12465 Hwy 70 East, Convent, LA 70723, US",225-562-7627,Tier 2	(Targeted),Non-Active,Qualified,"Mark Maulden (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Products,Chemical / Refining / Metals,Convent SMR(Steam Methane Reformer),"10759 Convent Way, Convent, LA 70723, US",,Tier 2	(Targeted),Non-Active,Not Qualified,"Mark Maulden (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Products,Chemical / Refining / Metals,Flomaton,"36441 Van Hoosen Road, Flomaton, AL 36441, US",251-296-5371,Tier 2	(Targeted),Non-Active,Not Qualified,Mark Maulden (FTS),Bridget LaBorde
Air Products,Chemical / Refining / Metals,Garyville,"4663 Airline Hwy West, Garyville, LA 70051, US",,Tier 2	(Targeted),Non-Active,Not Qualified,"Mark Maulden (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Products,Chemical / Refining / Metals,Geismar,"36637 LA Highway 30, Geismar, LA 70734, US",,Tier 2	(Targeted),Non-Active,Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",Bridget LaBorde
Air Products,Chemical / Refining / Metals,Hanhville,"226 Hwy 3142, Hahnville, LA 70057, US",,Tier 3,Non-Active,Not Qualified,,John Shaw
Air Products,Chemical / Refining / Metals,LaPorte,"10202 Strang Road, LaPorte, TX 77571, US",281-479-5901,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Air Products,Chemical / Refining / Metals,Luling,"12898 Hwy 90, Luling, LA 70070, US",,Tier 2	(Targeted),Non-Active,Not Qualified,Mark Maulden (FTS),John Shaw
Air Products,Chemical / Refining / Metals,Muscle Shoals,"200 River Road, Muscle Shoals, AL 35661, US",256-381-0542,Tier 3,Non-Active,Not Qualified,Mark Maulden (FTS),Bridget LaBorde
Air Products,Chemical / Refining / Metals,New Orleans,"14700 Intracoastal Drive, New Orleans, LA 70129, US",,Tier 2	(Targeted),Non-Active,Qualified,"Mark Maulden (FTS), David Formby (TPS)",John Shaw
Air Products,Chemical / Refining / Metals,Pasadena,"1423 E. Pasadena Frwy, Pasadena, TX 77501, US",,Tier 2	(Targeted),Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Air Products,Chemical / Refining / Metals,Perdue Hill,"Perdue Hill, AL 36470, US",334-575-4551,Tier 3,Non-Active,Not Qualified,Mark Maulden (FTS),Bridget LaBorde
Air Products,Chemical / Refining / Metals,Port Arthur,"1801 South Gulfway Drive, Port Arthur, TX 77641, US",,Tier 3,Non-Active,Not Qualified,Nathan Gewin (FTS),
Air Products,Chemical / Refining / Metals,Reserve,"474 W 19th Street, Reserve, LA 70084, US",,Tier 2	(Targeted),Non-Active,Not Qualified,Mark Maulden (FTS),John Shaw
Airtek Construction Inc,Commercial,Troy,"700 Husdon St, Troy, AL 36081, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Akzo Chemical,Chemical / Refining / Metals,Axis,"13440 HWY. 43 NORTH, Axis, AL 36505, US",251-675-1310,Tier 3,Non-Active,Qualified,Unassigned Unassigned (FTS),
Akzo Nobel Surfactants,Chemical / Refining / Metals,Clinton,"Clinton, MS, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Akzo Nobel Surfactants,Chemical / Refining / Metals,Deer Park,"730 Battleground Road, Deer Park, TX 77536, US",281-479-8100,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Akzo Nobel Surfactants,Commercial,Houston,"15200 Almeda Road, Houston, TX 77053, US",713-433-7289,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Alabama Ductile Casting,Chemical / Refining / Metals,Brewton,"210 Ann Avenue, Brewton, AL 36426, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Alabama Electric Power,Power,Leroy,"Leroy, AL, US",251-246-5746,Tier 3,Non-Active,Qualified,Unassigned Unassigned (FTS),
Alabama Iron and Metal Co,Chemical / Refining / Metals,Talladega,"401 West Street S., Talladega, AL 35160, US",256-362-2646,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Alabama Power,Power,Bucks,"15300 Hwy 43, Bucks, AL, US",,Tier 3,Non-Active,Not Qualified,Mark Maulden (FTS),
Alabama Power,Power,Greene County Steam Plant-Demopolis,"100 County Road 18, Demopolis, AL 36732, US",,Tier 3,Non-Active,Not Qualified,,Bridget LaBorde
Alabama Power,Power,Theodore,"Rangeline Road, Theodore, AL 36590, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Alabama Pulp Co,Wood Products,Monroe,"Lena Landegger Hwy, Monroeville, AL 36460, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Alabama Renderers,Industrial,Loxley,"28360 County Road 66 North, Loxley, AL 36551, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Alabama River Newsprint,Wood Products,Perdue Hill,"County Road 39, Perdue Hill, AL 36740, US",251-575-2800,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Albemarle,Chemical / Refining / Metals,Baton Rouge,"Gulf States Utility Road, Baton Rouge, LA 70805, US",,Tier 3,Non-Active,Qualified,"Mark Maulden (FTS), Ivy Kimble (TPS)",John Shaw
Albemarle,Chemical / Refining / Metals,El Dorado,"El Dorado, AR, US",870-235-6000,Tier 3,Non-Active,Qualified,Unassigned Unassigned (FTS),Randy  Sharpe
Albemarle,Chemical / Refining / Metals,Magnolia-South,"Hwy 371 S, Magnolia, AR, US",870-235-6000,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),Randy  Sharpe
Albemarle,Chemical / Refining / Metals,Magnolia-West,"Hwy 79 S, Magnolia, AR, US",870-235-6000,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),Randy  Sharpe
Albemarle,Chemical / Refining / Metals,Pasadena,"1000 N. South St., Pasadena, TX 77503, US",,Tier 1	(Targeted),Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Albemarle Catalysts Co.,Chemical / Refining / Metals,Pasadena,"13000 Bay Park Road, Pasadena, TX 77507, US",281-291-2270,Tier 3,Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Albertville Quality Foods,Food & Beverage,Albertville,"102 Crow Street, Albertville, AL 35950, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Alcan cable,Industrial,Bay St. Louis,"Bay St. Louis, MS, US",,Tier 3,Non-Active,Not Qualified,,
Alcoa,Chemical / Refining / Metals,El Dorado,"Hwy 88, Benton, AR, US",501-776-4677 (securi,Tier 3,Non-Active,Not Qualified,,Randy  Sharpe
"Alcoa, Inc",Chemical / Refining / Metals,Point Comfort,"State Highway 35, Point Comfort, TX 77978, US",,Tier 3,Non-Active,Not Qualified,Nathan Gewin (FTS),
Alexander City Castings,Chemical / Refining / Metals,Alexander City,"620 Robinson Ct., Alexander City, AL 35010, US",256-212-1311,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
All Tech Inspections,Chemical / Refining / Metals,Corpus Christi,"I37 and Lantana, Corpus Christi, TX 78465, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Allstate Treating & Lumber,Wood Products,Tuscumbia,"4630 Hickory Lane, Tuscumbia, AL 35674, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Alma Plantation Limited,Food & Beverage,Lakeland,"4612 Alma Road, Lakeland, LA 70752, US",225-627-6666,Tier 4,Non-Active,Qualified,"Mark Maulden (FTS), Keith  Harrison (TPS)",John Shaw
Almatis Inc.,Chemical / Refining / Metals,Burnside,"41237 HWY 22, Burnside, LA 70738, US",,Tier 3,Non-Active,Qualified,David Formby (FTS),
Alon,Chemical / Refining / Metals,Big Spring,"I 20 West, Big Spring, TX 79721, US",915/263-9272,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS)",
Alon,Chemical / Refining / Metals,Krotz Springs,"Hwy 105 South, Krotz Springs, LA 70750, US",,Tier 2	(Targeted),Non-Active,Qualified,Mark Maulden (FTS),John Shaw
Alpha Boilers Inc.,Industrial,"Miami, FL","780 NW LeJune Rd Suite 417, Miami, FL 33125, US",305-442-2233,Tier 3,Non-Active,Qualified,"Chuck Brasseaux (FTS), Chuck Brasseaux (TPS)",
"Alply, Inc",Industrial,De Kalb,"De Kalb, MS, US",,Tier 3,Non-Active,Not Qualified,,
Altivia (KMCO),Chemical / Refining / Metals,Crosby,"16503 Ramsey Road, Crosby, TX 77532, US",,Tier 2	(Targeted),Non-Active,Qualified,Nathan Gewin (FTS),
AMEA Peaking Gas,Chemical / Refining / Metals,Talladega,"125 Thompson Ln, Sylacauga, AL 35150, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Amerada Hess Corp,Chemical / Refining / Metals,Laurel,"58 Howse Road, Laurel, MS 39443, US",,Tier 3,Non-Active,Not Qualified,,
Ameresco,Power,Brea,"135 S.State College Blvd Suite 265, Brea, CA 92821, US",,Tier 3,Non-Active,Not Qualified,,
Ameri Pride,Industrial,Gulfport,"1316 30th Avenue, Gulfport, MS 39502, US",225-863-7272,Tier 3,Non-Active,Not Qualified,,
Ameri-Forge Group Inc,Industrial,Houston,"13770 Industrial Road, Houston, TX 77015, US",713-393-4200,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
American Acryl,Chemical / Refining / Metals,Pasadena,"12100 Port Road, Pasadena, TX 77507, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
"American Biocarbon CT, LLC",Chemical / Refining / Metals,White Castle,"32525 LA Hwy 1 South, White Castle, LA 70788, US",,Tier 3,Non-Active,Not Qualified,"Barry Landry  (TPS), Mark Maulden (FTS)",John Shaw
American Building Products,Commercial,Covington,"20355 Hwy 36, Covington, 70433, US",,Tier 1,Active,Not Qualified,"Kenn Tregre (FTS), Barry Landry  (TPS)",
American Cyanamid,Chemical / Refining / Metals,Childersburg,"16693 Plant Road, Hwy 235, Childersburg, AL 35044, US",256-378-5556,Tier 3,Non-Active,Not Qualified,,
American Foam Cast Inc,Chemical / Refining / Metals,Sylacauga,"1014 Wynette Road, Sylacauga, AL 35151, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
American Industrial Fabricators,Industrial,Gonzales,"Gonzales, LA, US",,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
American Industrial Systems,Industrial,Berlin,"242 S Pearl St, Berlin, WI 54923, US",,Tier 3,Non-Active,Not Qualified,,
American Metal Technology,Chemical / Refining / Metals,Pell City,"1505 Dowzer Ave, Pell City, AL 35215, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
American Piping & Boiler Works,Industrial,Van Buren,"Van Buren, AR, US",,Tier 3,Non-Active,Qualified,Unassigned Unassigned (FTS),David Gould
American Safety Tread Co,Industrial,Pelham,"3201 Johnson Street, Pelham, AL 35124, US",800-245-4881,Tier 3,Non-Active,Not Qualified,,
American Steam,Industrial,Wylie,"Wylie, TX, US",972-442-4499,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
American Styrenics LLC,Chemical / Refining / Metals,St. James,"9901 Hwy 18, St. James, LA 70086, US",,Tier 2	(Targeted),Non-Active,QIP,"John Shaw (FTS), Barry Landry  (TPS)",John Shaw
American Sugar Refining (Domino Sugar),Food & Beverage,Arabi,"7417 North Peters Street, Arabi, LA 70032, US",,Tier 2	(Targeted),Active,Qualified,"John Shaw (FTS), Barry Landry  (TPS)",John Shaw
American Sugar Refining (Domino Sugar),Food & Beverage,Gretna,"199 First Street, Gretna, LA 70053, US",,Tier 2	(Targeted),Non-Active,Qualified,"John Shaw (FTS), Barry Landry  (TPS)",John Shaw
American Tank & Vessel,Industrial,Lucedale,"Lucedale, MS, US",,Tier 3,Non-Active,Not Qualified,,
Ameripol Synpol,Chemical / Refining / Metals,Beaumont,"Beaumont, TX, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Ameripol Synpol,Chemical / Refining / Metals,Port Neches,"1215 Main Street, Port Neches, TX 77651, US",409-722-8321,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Amistco Seperation,Commercial,Alvin,,,Tier 3,Non-Active,Not Qualified,,
Ampacet,Chemical / Refining / Metals,Deridder,"125 Ampacet Dr, Deridder, LA 70634, US",,Tier 3,Non-Active,Not Qualified,Mark Maulden (FTS),
AMT International Inc,Commercial,Plano,"5028 Tennyson Parkway, Plano, TX 75024, US",,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
Amvac Chemical Corporation,Chemical / Refining / Metals,Axis,"12650 Highway 43 N, Axis, AL 36505, US",,Tier 3,Non-Active,Not Qualified,,
"Anadarko Industries, LLC",Commercial,Houston,"2101 NASA Parkway, Houston, TX 77058, US",281-483-7872,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Anderson,Wood Products,Vicksburg,"565 Industrial Drive, Vicksburg, MS, US",,Tier 3,Non-Active,Not Qualified,,
Anderson River Oak Industries Inc,Wood Products,Yazoo City,"Yazoo City, MS, US",,Tier 4,Non-Active,Not Qualified,,
Angus Chemical (Dow Division),Chemical / Refining / Metals,Sterlington,"350 LA Hwy 2, Sterlington, LA 71280, US",,Tier 3,Non-Active,Qualified,David Formby (FTS),
Anheuser Busch,Food & Beverage,Houston,"775 Gelhorn Drive, Houston, TX 77029, US",713-675-2311,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Anthony Forest Products,Wood Products,Atlanta,,903-796-3464,Tier 3,Non-Active,Not Qualified,,David Gould
Anthony Forest Products,Wood Products,Urbana,,870-962-3206,Tier 3,Non-Active,Not Qualified,,
Anthony Timberlands,Wood Products,Fordyce,", AR, US",870-687-2246,Tier 3,Non-Active,Qualified,,
Anthony Timberlands,Wood Products,Winnfield,"Winnfield, LA, US",,Tier 3,Non-Active,Qualified,"Mark Maulden (FTS), Keith  Harrison (TPS)",John Shaw
"APC Construction, LLC",Industrial,Harvey,"1910 Peters Road, Harvey, LA 70058, US",,Tier 3,Active,Not Qualified,,
API Schmidt-Bretten,Commercial,"Arcade, NY","91 North St, Arcade, NY 14009, US",,Tier 3,Non-Active,Not Qualified,"Barry Landry  (FTS), Barry Landry  (TPS)",
Applied Energy Services,Power,Pasadena,"701 Light Company Road, Pasadena, TX 77506, US",,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Applied Utility Systems (AUS),Power,Irvine,"9371 Irvine Blvd CA, Irvine, TX 92618, US",949-387-4439,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Ar&Sm (Ascension Roofing & Sheetmetal),Industrial,Gonzales,"Gonzales, LA, US",,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
"ARAGUA, INC",Commercial,Doral,"2300 NW 94 Avenue Suite 209, Doral, FL 33172, US",305-592-0766,Tier 3,Non-Active,Not Qualified,Unassigned Unassigned (FTS),
ArcelorMittal,Industrial,AM/NS Calvert,", US",,Tier 3,Non-Active,Not Qualified,,
"Arena Industrial, Inc",Industrial,Kinder,"506 Sand Pit Road, Kinder, LA 70648, US",337-738-6033,Tier 3,Active,Not Qualified,Kenn Tregre (TPS),
Aristech,Chemical / Refining / Metals,LaPorte,"8811 Strang Road, LaPorte, TX 77572, US",281-476-0303,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Aristech,Chemical / Refining / Metals,Pasadena,"4403 LaPorte Highway, Pasadena, TX 77501, US",281-884-4336,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Arizona Chemical Company,Chemical / Refining / Metals,Panama City,"2 south Everitt Avenue, Panama City, FL 32401-4989, US",,Tier 3,Non-Active,Not Qualified,,
Arkansas Aluminum Alloys,Industrial,Hot Springs,"Hot Springs, AR, US",501-262-3420,Tier 3,Non-Active,Qualified,,
Arkansas Forest Products,Wood Products,Tenaha,"Tenaha, TX, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Arkansas Oregon Pneumatics,Industrial,Crossett,"162 Wood Street, Crossett, AR 71635, US",870-364-2129,Tier 3,Non-Active,Qualified,,
Arkema Chemical,Chemical / Refining / Metals,Axis,"13755 Highway 43 N, Axis, AL 36505, US",,Tier 3,Non-Active,Not Qualified,,
Arkema Chemical,Chemical / Refining / Metals,Beaumont,,,Tier 3,Non-Active,Not Qualified,,David Gould
Arkema Chemical,Chemical / Refining / Metals,Crosby,,,Tier 3,Non-Active,Not Qualified,,David Gould
Arkema Chemical,Chemical / Refining / Metals,Hahnville,"355 Louisiana Hwy 3142, Hahnville, LA 70057, US",,Tier 3,Non-Active,Not Qualified,,John Shaw
Arkema Chemical,Chemical / Refining / Metals,Pasadena,"9502 B Bayport Blvd, Pasadena, TX 77507, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Arma Coating of SELA,Commercial,Reserve,"243 Annex Drive, Reserve, LA 70084, US",,Tier 3,Non-Active,Not Qualified,David Formby (FTS),
Armstrong Wood Products,Wood Products,Center,"1100 Cotton Ford Road, Center, TX 75935, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Armstrong World Industries,Industrial,Jackson,"Jackson, MS, US",,Tier 3,Non-Active,Not Qualified,,
Armstrong World Industries,Industrial,Mobile,"1251 Baker Street, Mobile, AL 36603, US",251-433-3971,Tier 3,Non-Active,Not Qualified,,
Asarco,Chemical / Refining / Metals,Amarillo,"7001 State Hwy 136, Amarillo, TX 79108, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Asarco,Chemical / Refining / Metals,EL Paso,"2301 W. Paisano, EL Paso, TX 79999, US",915-541-1800,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Barry Landry  (TPS)",
Ascend Performance Materials,Chemical / Refining / Metals,Alvin,"FM 2917, Alvin, TX 77511, US",,Tier 3,Non-Active,Not Qualified,Nathan Gewin (FTS),
Ascension School Board,Industrial,Gonzales,"Gonzales, LA, US",,Tier 4,Non-Active,Qualified,"Keith  Harrison (FTS), Keith  Harrison (TPS)",
Ashbrook Corp,Industrial,Houston,"Houston, TX, US",,Tier 3,Non-Active,Not Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Ashland Chemical Co,Chemical / Refining / Metals,Jackson,"Jackson, MS, US",,Tier 3,Non-Active,Not Qualified,,
ASI Piping,Industrial,Vidor,"3530 Lakeview Cutoff, Vidor, TX 77662, US",409-786-1080,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
Atalla Generating,Power,Sallis,"Atalla Plant Rd, Sallis, MS 39079, US",,Tier 3,Non-Active,Not Qualified,,
Atapco,Wood Products,Globe,"Globe, MS, US",,Tier 3,Non-Active,Not Qualified,,
"Atlantic Coffee Solutions, Inc.",Food & Beverage,Houston,"3900 Harrisburg, Houston, TX 77003, US",,Tier 3,Non-Active,Qualified,"Nathan Gewin (FTS), Nathan Gewin (PSS), Nathan Gewin (TPS)",
